year,month,day,hour,u_wind,v_wind,wind_speed
2023,1,10,11,0.30097234,-1.9101162,1.9336825571791048
2023,1,10,12,0.027718425,-1.8605652,1.860771646587057
2023,1,10,13,0.096101046,-1.9958096,1.9981219159527634
2023,1,10,14,0.52943903,-1.8840733,1.9570482181366244
2023,1,10,15,0.2922294,-2.1486473,2.1684287597421186
2023,1,10,16,0.38188988,-2.1017609,2.1361738250305655
2023,1,10,17,0.28602883,-2.137723,2.1567735127440164
2023,1,10,18,0.2840243,-2.1227198,2.141636991054079
2023,1,10,19,0.07193667,-2.063815,2.065068454247003
2023,1,10,20,-0.13440341,-2.0100727,2.0145611353185644
2023,1,10,21,0.31826288,-1.7000351,1.7295694789792053
2023,1,10,22,0.6626505,-1.7794485,1.8988266682323136
2023,1,10,23,0.7023054,-1.6292858,1.7742054842431654
2023,1,11,0,0.44282,-1.1444302,1.2271144835937084
2023,1,11,1,0.3839903,-0.6121969,0.722657327359444
2023,1,11,2,0.72566247,0.042269707,0.7268925286971051
2023,1,11,3,0.87484944,0.5594969,1.0384595796628764
2023,1,11,4,0.56920236,1.0405941,1.186097556502085
2023,1,11,5,0.41482776,1.0244598,1.105260166325312
2023,1,11,6,0.6027871,1.0275054,1.1912680652204561
2023,1,11,7,1.012866,0.75737023,1.2647162707608177
2023,1,11,8,1.273352,0.32768476,1.314839414722694
2023,1,11,9,1.2467325,-0.24910396,1.2713750999343063
2023,1,11,10,0.9623936,-0.98653316,1.378205025393819
2023,1,11,11,0.7376134,-1.2745981,1.4726417996190053
2023,1,11,12,0.32300973,-1.7311077,1.7609852909957315
2023,1,11,13,-0.56274617,-1.5325756,1.6326270978914428
2023,1,11,14,-1.2251072,-0.9438095,1.546500573593793
2023,1,11,15,-1.328825,-0.602021,1.4588369105501329
2023,1,11,16,-1.3800697,-0.33911836,1.421124107919163
2023,1,11,17,-1.3800602,-0.03548336,1.3805162850282233
2023,1,11,18,-1.0976152,0.36016464,1.1551959959539042
2023,1,11,19,-1.0642681,0.37166405,1.12729799903152
2023,1,11,20,-0.77721214,0.35716343,0.8553504722282389
